DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
16-Jun-26,EQ,"1,136.90","1,153.80","1,123.20","1,134.90","1,145.00","1,143.60","1,140.85","1,728.00","1,089.00","1,04,56,090","11,92,88,04,188.90","1,62,431"
15-Jun-26,EQ,"1,130.00","1,151.00","1,123.00","1,116.40","1,135.60","1,134.90","1,135.97","1,728.00","1,089.00","78,56,192","8,92,43,77,450.20","1,29,357"
12-Jun-26,EQ,"1,120.00","1,123.30","1,111.50","1,114.60","1,118.50","1,116.40","1,116.40","1,728.00","1,089.00","80,75,333","9,01,53,14,182.30","1,51,562"
11-Jun-26,EQ,"1,129.70","1,133.70","1,109.00","1,145.30","1,119.50","1,114.60","1,116.74","1,728.00","1,089.00","93,72,176","10,46,62,92,643.10","2,45,811"
10-Jun-26,EQ,"1,160.10","1,171.40","1,143.30","1,180.30","1,144.00","1,145.30","1,154.24","1,728.00","1,089.00","88,87,626","10,25,84,50,697.60","1,74,623"
09-Jun-26,EQ,"1,193.60","1,193.60","1,167.30","1,187.60","1,181.70","1,180.30","1,176.06","1,728.00","1,089.00","1,09,84,054","12,91,79,03,889.00","1,90,190"
08-Jun-26,EQ,"1,177.50","1,200.70","1,176.50","1,197.50","1,187.00","1,187.60","1,189.58","1,728.00","1,089.00","86,31,711","10,26,81,42,160.10","1,64,182"
05-Jun-26,EQ,"1,220.00","1,223.80","1,194.30","1,201.30","1,199.00","1,197.50","1,201.93","1,728.00","1,089.00","86,92,290","10,44,75,14,955.60","1,38,390"
04-Jun-26,EQ,"1,208.00","1,215.20","1,196.20","1,222.60","1,204.40","1,201.30","1,203.46","1,728.00","1,089.00","1,27,55,957","15,35,12,98,787.80","2,06,266"
03-Jun-26,EQ,"1,242.10","1,249.90","1,216.00","1,270.80","1,220.50","1,222.60","1,225.95","1,728.00","1,089.00","1,85,34,303","22,72,21,20,449.40","3,53,815"
02-Jun-26,EQ,"1,232.50","1,278.90","1,232.50","1,202.50","1,270.00","1,270.80","1,263.28","1,728.00","1,089.00","3,60,32,600","45,51,91,12,148.80","4,97,139"
01-Jun-26,EQ,"1,175.00","1,217.00","1,173.70","1,160.90","1,203.50","1,202.50","1,205.22","1,728.00","1,089.00","1,94,39,331","23,42,86,14,350.30","2,61,853"
29-May-26,EQ,"1,182.00","1,210.00","1,153.60","1,159.90","1,156.40","1,160.90","1,169.50","1,728.00","1,089.00","6,90,85,430","80,79,53,33,060.80","3,92,999"
27-May-26,EQ,"1,161.00","1,167.30","1,155.00","1,167.70","1,162.00","1,159.90","1,160.50","1,728.00","1,089.00","63,71,871","7,39,45,29,529.50","1,35,727"
26-May-26,EQ,"1,166.30","1,180.70","1,162.90","1,168.50","1,166.00","1,167.70","1,172.18","1,728.00","1,089.00","80,05,767","9,38,41,92,190.60","1,51,193"
25-May-26,EQ,"1,183.00","1,185.00","1,166.10","1,174.50","1,168.00","1,168.50","1,173.45","1,728.00","1,089.00","58,56,136","6,87,18,86,851.00","1,02,287"
22-May-26,EQ,"1,182.50","1,191.80","1,172.50","1,181.20","1,175.00","1,174.50","1,179.30","1,728.00","1,089.00","88,03,066","10,38,14,17,170.70","1,52,471"
21-May-26,EQ,"1,196.10","1,201.80","1,177.00","1,193.70","1,178.20","1,181.20","1,185.68","1,728.00","1,089.00","1,00,21,033","11,88,17,71,275.10","1,92,009"
20-May-26,EQ,"1,187.00","1,206.90","1,184.90","1,196.90","1,190.00","1,193.70","1,195.38","1,728.00","1,089.00","1,51,21,010","18,07,53,35,888.50","1,80,970"
19-May-26,EQ,"1,162.00","1,198.40","1,162.00","1,142.50","1,194.00","1,196.90","1,190.55","1,728.00","1,089.00","3,21,75,705","38,30,68,60,777.50","3,77,426"
18-May-26,EQ,"1,119.00","1,146.10","1,118.00","1,119.00","1,145.60","1,142.50","1,134.98","1,728.00","1,089.00","1,20,96,377","13,72,91,12,433.30","3,22,692"
15-May-26,EQ,"1,102.00","1,133.20","1,101.60","1,095.00","1,116.00","1,119.00","1,120.63","1,728.00","1,089.00","1,74,82,450","19,59,13,03,917.70","2,43,995"
14-May-26,EQ,"1,119.80","1,121.90","1,089.00","1,123.10","1,094.10","1,095.00","1,098.25","1,728.00","1,089.00","1,69,14,842","18,57,66,54,825.50","5,61,427"
13-May-26,EQ,"1,136.60","1,142.60","1,121.00","1,140.30","1,123.40","1,123.10","1,128.99","1,728.00","1,121.00","66,64,111","7,52,37,46,916.20","2,29,143"
12-May-26,EQ,"1,162.00","1,162.00","1,123.00","1,177.00","1,139.70","1,140.30","1,137.20","1,728.00","1,123.00","1,68,91,948","19,20,94,76,661.90","3,59,355"
11-May-26,EQ,"1,176.00","1,187.00","1,172.10","1,179.20","1,176.00","1,177.00","1,180.51","1,728.00","1,149.80","73,36,288","8,66,05,45,241.40","1,54,970"
08-May-26,EQ,"1,161.00","1,183.50","1,158.80","1,162.70","1,179.50","1,179.20","1,174.01","1,728.00","1,149.80","75,82,770","8,90,22,53,764.70","1,48,760"
07-May-26,EQ,"1,173.00","1,175.40","1,159.20","1,167.20","1,165.90","1,162.70","1,166.46","1,728.00","1,149.80","1,20,13,987","14,01,37,85,057.40","1,93,359"
06-May-26,EQ,"1,187.00","1,191.50","1,164.10","1,178.10","1,170.50","1,167.20","1,172.21","1,728.00","1,149.80","98,56,963","11,55,43,82,987.30","2,02,253"
05-May-26,EQ,"1,169.50","1,185.20","1,160.10","1,168.40","1,177.60","1,178.10","1,174.90","1,728.00","1,149.80","81,64,108","9,59,19,73,587.00","1,62,395"
04-May-26,EQ,"1,195.00","1,195.00","1,165.20","1,181.80","1,168.00","1,168.40","1,175.30","1,728.00","1,149.80","77,35,811","9,09,19,29,599.20","1,92,293"
30-Apr-26,EQ,"1,167.50","1,189.80","1,159.60","1,167.50","1,182.60","1,181.80","1,178.22","1,728.00","1,149.80","1,22,05,669","14,38,10,16,153.80","2,74,308"
29-Apr-26,EQ,"1,158.50","1,178.20","1,156.80","1,152.10","1,167.10","1,167.50","1,170.79","1,728.00","1,149.80","83,03,109","9,72,11,82,659.70","1,95,759"
